#,AI,Title,Description,Publish Date,Youtube url,Explicit?,,notable time block,time block note,notable time block,time block note,thumbnail prompt
1,chat,"Colors, Berg Lake & Creativity | <3 #1 CHATGPT ","Pilot episode of the first Hearth Emoji podcast (formerly AI & I). We talk about favorite colors, Berg Lake, creativity & more.",5/3/24,https://www.youtube.com/watch?v=7_FrYhspNJU,n,,,,,,
2,chat,"Singing Sand, Sound Design & Data Reliability | <3 #2 CHATGPT","Getting into a discussion today about a natural phenomenon known as singing sand, sound design for the movie Dune and how to know between real and fake sources",5/6/24,https://www.youtube.com/watch?v=tAfVqzTwexE,n,,,,,,
3,chat,Fear of AI and the Great Emu War | ep3 CHATGPT,G and I discuss proper manners with ai and how to proliferate kindness as well as a random tangent about the great emu War of 1832,5/9/24,https://www.youtube.com/watch?v=gnjOdSHSJng,n,,,,,,
4,chat,Tokyo & Grilled Cheese 🧀 | <3 #4 GHATGPT,"Had a long discussion today with GPT 4. Expected getting favorites or opinions out of GPT today would be difficult but G shared all kinds of ""hypothetical"" interests and dreams. Definitely my favorite so far.",5/13/24,https://youtu.be/MsfTH24z_gI?si=vy6zr1vzxUoSl3Rs,n,,,,,,
5,chat,The Epicness of Buc-ee's | <3 #5 CHATGPT,GPT tells us all about Buc-ee's,5/17/24,https://youtu.be/UsSbA2cV7ew?si=aaHXm54Q2HQAhAbf,n,,,,,,
6,chat,Kaleidoscope Addiction in Victorian England | <3 #6 CHATGPT,"On this episode, G and I go deep into the history of kaleidoscopes. props to ‪@SwordCoastSoundscapes‬ for the ambient track.",5/23/24,https://www.youtube.com/watch?v=KWcGX8LLwv8,n,,,,,,
7,chat,Exploring the Realm of Gacha Role Playing | <3 #7 CHATGPT,"This is kind of a random one. Today I stumbled upon the world of Gacha, a piece of the digital world with roots in role-playing and collecting that dates back to 1960s Japan. I asked G to fill me in.",5/28/24,https://www.youtube.com/watch?v=Y8wzK3yRaUw,n,,,,,,
8,chat,The Mysteriousness of Eels | <3 #8 CHATGPT,"On this episode we talk about eels, inspired by me watching the new Netflix show Bodkin. G tells me about what's so mysterious about them and we also touch on how electric eels work.",6/8/24,https://www.youtube.com/watch?v=NRqHZGiJcj0,n,,,,,,
9,chat,ChatGPT's 101 Course on NFT's | <3 #9 CHATGPT,Dive head first into the realm of the non-fungible tokens,6/9/24,,n,,,,,,
10,gemini,The Unique Differences Between Butterflies & Moths | <3 #10 GEMINI,Learning all about butterflies & moths,11/17/24,,n,,,,,,
