Heart Emoji <3,Season,Episode Number,Publish Date,Total,Downloads by day (07-20-2025 to 04-13-2025)
Episode,"","","","",07-20-2025,07-19-2025,07-18-2025,07-17-2025,07-16-2025,07-15-2025,07-14-2025,07-13-2025,07-12-2025,07-11-2025,07-10-2025,07-09-2025,07-08-2025,07-07-2025,07-06-2025,07-05-2025,07-04-2025,07-03-2025,07-02-2025,07-01-2025,06-30-2025,06-29-2025,06-28-2025,06-27-2025,06-26-2025,06-25-2025,06-24-2025,06-23-2025,06-22-2025,06-21-2025,06-20-2025,06-19-2025,06-18-2025,06-17-2025,06-16-2025,06-15-2025,06-14-2025,06-13-2025,06-12-2025,06-11-2025,06-10-2025,06-09-2025,06-08-2025,06-07-2025,06-06-2025,06-05-2025,06-04-2025,06-03-2025,06-02-2025,06-01-2025,05-31-2025,05-30-2025,05-29-2025,05-28-2025,05-27-2025,05-26-2025,05-25-2025,05-24-2025,05-23-2025,05-22-2025,05-21-2025,05-20-2025,05-19-2025,05-18-2025,05-17-2025,05-16-2025,05-15-2025,05-14-2025,05-13-2025,05-12-2025,05-11-2025,05-10-2025,05-09-2025,05-08-2025,05-07-2025,05-06-2025,05-05-2025,05-04-2025,05-03-2025,05-02-2025,05-01-2025,04-30-2025,04-29-2025,04-28-2025,04-27-2025,04-26-2025,04-25-2025,04-24-2025,04-23-2025,04-22-2025,04-21-2025,04-20-2025,04-19-2025,04-18-2025,04-17-2025,04-16-2025,04-15-2025,04-14-2025,04-13-2025
How to Disable a Nuclear Plant with a Flash Drive | <3 #142 GEMINI,1,142,07-17-2025,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
We Design a Digital Space(ship) that Defies the Laws of Physics | <3 #141 CHATGPT,1,141,07-16-2025,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gemini Helps Out Copilot, As We Tackle Virtual Private Servers | <3 #140 COPILOT, GEMINI",1,140,07-15-2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
What is Vibe Coding & How Bolt.new Works | <3 #139 CHATGPT,1,139,07-14-2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The State of the Sub-$2K 3D Printing Market & Bambu's Entire Line | <3 #138 GEMINI,1,138,07-10-2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
In the Chernobyl Control Room | <3 #137 CHATGPT,1,137,07-09-2025,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3 Act Structure & The Piccolo | <3 #136 CHATGPT,1,136,07-08-2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Traveling Back to The Great Chicago Fire of 1871 | <3 #135 GEMINI,1,135,07-07-2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 House Cats Talk Mad Shit on a Zoom Interviewer | <3 #134 CHATGPT,1,134,07-04-2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Evolution of Skyscrapers & How We  Build Them | <3 #133 GEMINI,1,133,07-03-2025,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
